x_0;x_1;x_2;x_3;x_4;x_5;x_6;x_7;x_8;x_9
-1,2628738;-1,2415833;-1,2969198;-1,2972324;-1,2628738;-1,2796353;-1,2912818;-1,2972324;-1,2912818;-1,2796353
-1,5185971;-1,5085411;-1,5122569;-1,5217055;-1,5185971;-1,5244361;-1,5256196;-1,5217055;-1,5256196;-1,5244361
-0,86293125;-0,86789834;-0,8291149;-0,8403106;-0,86293125;-0,8568759;-0,8494445;-0,8403106;-0,8494445;-0,8568759
-0,5765197;-0,58749056;-0,5227915;-0,5379106;-0,5765197;-0,5646572;-0,55182266;-0,5379106;-0,55182266;-0,5646572
-0,5868894;-0,60301983;-0,5123227;-0,5323716;-0,5868894;-0,56969655;-0,5515072;-0,5323716;-0,5515072;-0,56969655
-0,491837;-0,50675917;-0,42664692;-0,4434945;-0,491837;-0,47620952;-0,4600492;-0,4434945;-0,4600492;-0,47620952
-0,28347498;-0,3115626;-0,15933391;-0,19171135;-0,28347498;-0,25398692;-0,22332747;-0,19171135;-0,22332747;-0,25398692
-0,28041124;-0,3090119;-0,1467928;-0,18260011;-0,28041124;-0,24965227;-0,21696815;-0,18260011;-0,21696815;-0,24965227
-0,3002625;-0,29920822;-0,28419086;-0,2912497;-0,3002625;-0,2992891;-0,29628432;-0,2912497;-0,29628432;-0,2992891
0,15092547;0,16022335;0,121562615;0,12762718;0,15092547;0,14236927;0,13458626;0,12762718;0,13458626;0,14236927
0,46153718;0,47391656;0,4164531;0,4269373;0,46153718;0,4495415;0,43798786;0,4269373;0,43798786;0,4495415
0,195359;0,20297402;0,16814019;0,17447118;0,195359;0,18808055;0,18112025;0,17447118;0,18112025;0,18808055
-0,09258531;-0,085556746;-0,103659645;-0,10325037;-0,09258531;-0,09781475;-0,10133655;-0,10325037;-0,10133655;-0,09781475
0,3534265;0,35882962;0,34270817;0,3438358;0,3534265;0,34914708;0,345964;0,3438358;0,345964;0,34914708
0,18172275;0,16953143;0,25077572;0,23074228;0,18172275;0,19606918;0,21245456;0,23074228;0,21245456;0,19606918
0,3563841;0,34381354;0,4159357;0,39994717;0,3563841;0,37001485;0,3845843;0,39994717;0,3845843;0,37001485
0,54864293;0,53351706;0,59987867;0,5886121;0,54864293;0,5629175;0,5762658;0,5886121;0,5762658;0,5629175
0,85429174;0,8708664;0,7748859;0,79633105;0,85429174;0,8362256;0,8168429;0,79633105;0,8168429;0,8362256
0,3994067;0,40837345;0,36737424;0,3744013;0,3994067;0,3906198;0,38221624;0,3744013;0,38221624;0,3906198
0,45171946;0,43395823;0,5157597;0,5007645;0,45171946;0,468769;0,48511082;0,5007645;0,48511082;0,468769
0,5024475;0,4950732;0,5195771;0,5169149;0,5024475;0,5084751;0,51325786;0,5169149;0,51325786;0,5084751
